States,Years,Quarter,Insurance_type,Insurance_count,Insurance_amount
Andaman & Nicobar,2020,2,Insurance,6,1360
Andaman & Nicobar,2020,3,Insurance,41,15380
Andaman & Nicobar,2020,4,Insurance,124,157975
Andaman & Nicobar,2021,1,Insurance,225,244266
Andaman & Nicobar,2021,2,Insurance,137,181504
Andaman & Nicobar,2021,3,Insurance,230,305235
Andaman & Nicobar,2021,4,Insurance,757,1056380
Andaman & Nicobar,2022,1,Insurance,768,1131287
Andaman & Nicobar,2022,2,Insurance,501,779740
Andaman & Nicobar,2022,3,Insurance,643,902466
Andaman & Nicobar,2022,4,Insurance,901,1441210
Andaman & Nicobar,2023,1,Insurance,1004,1439198
Andaman & Nicobar,2023,2,Insurance,768,1233395
Andaman & Nicobar,2023,3,Insurance,795,1251145
Andaman & Nicobar,2023,4,Insurance,1145,1757821
Andaman & Nicobar,2024,1,Insurance,1371,1964556
Andaman & Nicobar,2024,2,Insurance,1097,1744694
Andaman & Nicobar,2024,3,Insurance,1191,1752800
Andaman & Nicobar,2024,4,Insurance,1293,2026380
Andhra Pradesh,2020,2,Insurance,22104,3982391
Andhra Pradesh,2020,3,Insurance,49812,12426481
Andhra Pradesh,2020,4,Insurance,21464,12985632
Andhra Pradesh,2021,1,Insurance,22105,12749874
Andhra Pradesh,2021,2,Insurance,33205,22730687
Andhra Pradesh,2021,3,Insurance,23075,19914338
Andhra Pradesh,2021,4,Insurance,25423,31610335
Andhra Pradesh,2022,1,Insurance,29954,42648157
Andhra Pradesh,2022,2,Insurance,32185,41708072
Andhra Pradesh,2022,3,Insurance,39301,48791931
Andhra Pradesh,2022,4,Insurance,44329,58043239
Andhra Pradesh,2023,1,Insurance,34920,51963355
Andhra Pradesh,2023,2,Insurance,36376,52067478
Andhra Pradesh,2023,3,Insurance,43150,57802396
Andhra Pradesh,2023,4,Insurance,41798,62342423
Andhra Pradesh,2024,1,Insurance,46582,63563802
Andhra Pradesh,2024,2,Insurance,42547,62948281
Andhra Pradesh,2024,3,Insurance,48014,73915199
Andhra Pradesh,2024,4,Insurance,61425,80028914
Arunachal Pradesh,2020,2,Insurance,65,14329
Arunachal Pradesh,2020,3,Insurance,135,39687
Arunachal Pradesh,2020,4,Insurance,125,84247
Arunachal Pradesh,2021,1,Insurance,194,131611
Arunachal Pradesh,2021,2,Insurance,204,224928
Arunachal Pradesh,2021,3,Insurance,212,371051
Arunachal Pradesh,2021,4,Insurance,320,598459
Arunachal Pradesh,2022,1,Insurance,355,894107
Arunachal Pradesh,2022,2,Insurance,564,1360231
Arunachal Pradesh,2022,3,Insurance,510,1300304
Arunachal Pradesh,2022,4,Insurance,613,1464572
Arunachal Pradesh,2023,1,Insurance,606,1747475
Arunachal Pradesh,2023,2,Insurance,696,2095988
Arunachal Pradesh,2023,3,Insurance,718,1904786
Arunachal Pradesh,2023,4,Insurance,809,2105408
Arunachal Pradesh,2024,1,Insurance,1100,2419700
Arunachal Pradesh,2024,2,Insurance,1147,2353015
Arunachal Pradesh,2024,3,Insurance,842,1951385
Arunachal Pradesh,2024,4,Insurance,999,2359472
Assam,2020,2,Insurance,978,210034
Assam,2020,3,Insurance,2206,599450
Assam,2020,4,Insurance,2413,1806801
Assam,2021,1,Insurance,3167,2334419
Assam,2021,2,Insurance,3265,3008122
Assam,2021,3,Insurance,4495,6010865
Assam,2021,4,Insurance,8622,13962068
Assam,2022,1,Insurance,16230,27447766
Assam,2022,2,Insurance,9228,15357811
Assam,2022,3,Insurance,14149,22543564
Assam,2022,4,Insurance,18826,29239168
Assam,2023,1,Insurance,22100,36963888
Assam,2023,2,Insurance,16475,28368139
Assam,2023,3,Insurance,22593,35618158
Assam,2023,4,Insurance,23168,38731734
Assam,2024,1,Insurance,33097,48107248
Assam,2024,2,Insurance,22368,34796603
Assam,2024,3,Insurance,17633,31388971
Assam,2024,4,Insurance,21805,35336229
Bihar,2020,2,Insurance,2816,595621
Bihar,2020,3,Insurance,9733,2161102
Bihar,2020,4,Insurance,9913,7860932
Bihar,2021,1,Insurance,12554,8796619
Bihar,2021,2,Insurance,14301,13301581
Bihar,2021,3,Insurance,18030,18234941
Bihar,2021,4,Insurance,22456,27313813
Bihar,2022,1,Insurance,20253,27755736
Bihar,2022,2,Insurance,21892,28212833
Bihar,2022,3,Insurance,28511,34704251
Bihar,2022,4,Insurance,33895,43914519
Bihar,2023,1,Insurance,26929,38746711
Bihar,2023,2,Insurance,29212,40354886
Bihar,2023,3,Insurance,36550,45832355
Bihar,2023,4,Insurance,41447,57624322
Bihar,2024,1,Insurance,51592,63844442
Bihar,2024,2,Insurance,49101,65285065
Bihar,2024,3,Insurance,44745,62777286
Bihar,2024,4,Insurance,62662,83739800
Chandigarh,2020,2,Insurance,149,29537
Chandigarh,2020,3,Insurance,264,70969
Chandigarh,2020,4,Insurance,200,153341
Chandigarh,2021,1,Insurance,338,238576
Chandigarh,2021,2,Insurance,378,310943
Chandigarh,2021,3,Insurance,494,469634
Chandigarh,2021,4,Insurance,710,835813
Chandigarh,2022,1,Insurance,792,1150932
Chandigarh,2022,2,Insurance,1330,1874959
Chandigarh,2022,3,Insurance,1533,1998439
Chandigarh,2022,4,Insurance,1403,2024528
Chandigarh,2023,1,Insurance,1520,2415574
Chandigarh,2023,2,Insurance,1704,2501107
Chandigarh,2023,3,Insurance,1883,2660630
Chandigarh,2023,4,Insurance,1767,3053934
Chandigarh,2024,1,Insurance,1730,3143984
Chandigarh,2024,2,Insurance,1798,3177315
Chandigarh,2024,3,Insurance,1991,3445738
Chandigarh,2024,4,Insurance,2095,3729932
Chhattisgarh,2020,2,Insurance,1346,279005
Chhattisgarh,2020,3,Insurance,4702,1393656
Chhattisgarh,2020,4,Insurance,3757,2249901
Chhattisgarh,2021,1,Insurance,4712,2620468
Chhattisgarh,2021,2,Insurance,5055,3813417
Chhattisgarh,2021,3,Insurance,4676,3568837
Chhattisgarh,2021,4,Insurance,6029,8229039
Chhattisgarh,2022,1,Insurance,6612,10139190
Chhattisgarh,2022,2,Insurance,7008,10119964
Chhattisgarh,2022,3,Insurance,8849,12119470
Chhattisgarh,2022,4,Insurance,11994,18137856
Chhattisgarh,2023,1,Insurance,10460,16577191
Chhattisgarh,2023,2,Insurance,10514,16389610
Chhattisgarh,2023,3,Insurance,11927,17838382
Chhattisgarh,2023,4,Insurance,17300,29704673
Chhattisgarh,2024,1,Insurance,19579,30083259
Chhattisgarh,2024,2,Insurance,15724,25935743
Chhattisgarh,2024,3,Insurance,16550,27724060
Chhattisgarh,2024,4,Insurance,22723,37421165
Dadra and Nagar Haveli and Daman and Diu,2020,2,Insurance,651,101029
Dadra and Nagar Haveli and Daman and Diu,2020,3,Insurance,257,65504
Dadra and Nagar Haveli and Daman and Diu,2020,4,Insurance,232,149513
Dadra and Nagar Haveli and Daman and Diu,2021,1,Insurance,467,285691
Dadra and Nagar Haveli and Daman and Diu,2021,2,Insurance,368,275638
Dadra and Nagar Haveli and Daman and Diu,2021,3,Insurance,360,273596
Dadra and Nagar Haveli and Daman and Diu,2021,4,Insurance,421,425384
Dadra and Nagar Haveli and Daman and Diu,2022,1,Insurance,493,720741
Dadra and Nagar Haveli and Daman and Diu,2022,2,Insurance,438,686857
Dadra and Nagar Haveli and Daman and Diu,2022,3,Insurance,707,983776
Dadra and Nagar Haveli and Daman and Diu,2022,4,Insurance,871,1272628
Dadra and Nagar Haveli and Daman and Diu,2023,1,Insurance,799,1215168
Dadra and Nagar Haveli and Daman and Diu,2023,2,Insurance,694,1058753
Dadra and Nagar Haveli and Daman and Diu,2023,3,Insurance,969,1333103
Dadra and Nagar Haveli and Daman and Diu,2023,4,Insurance,1207,1973867
Dadra and Nagar Haveli and Daman and Diu,2024,1,Insurance,1295,1908509
Dadra and Nagar Haveli and Daman and Diu,2024,2,Insurance,1008,1367259
Dadra and Nagar Haveli and Daman and Diu,2024,3,Insurance,1052,1602869
Dadra and Nagar Haveli and Daman and Diu,2024,4,Insurance,1503,2292529
Delhi,2020,2,Insurance,11716,1897480
Delhi,2020,3,Insurance,7588,1927285
Delhi,2020,4,Insurance,9725,8045442
Delhi,2021,1,Insurance,12822,9655261
Delhi,2021,2,Insurance,13292,10840929
Delhi,2021,3,Insurance,16679,15007079
Delhi,2021,4,Insurance,34251,36578331
Delhi,2022,1,Insurance,28232,35442069
Delhi,2022,2,Insurance,26378,31787281
Delhi,2022,3,Insurance,35944,41570160
Delhi,2022,4,Insurance,48908,60603173
Delhi,2023,1,Insurance,45821,61040038
Delhi,2023,2,Insurance,41358,54951108
Delhi,2023,3,Insurance,47113,58878500
Delhi,2023,4,Insurance,56336,77332401
Delhi,2024,1,Insurance,53050,76232346
Delhi,2024,2,Insurance,46189,68046072
Delhi,2024,3,Insurance,49150,71139489
Delhi,2024,4,Insurance,67962,94390728
Goa,2020,2,Insurance,341,71100
Goa,2020,3,Insurance,683,196864
Goa,2020,4,Insurance,614,682364
Goa,2021,1,Insurance,879,827384
Goa,2021,2,Insurance,1016,1028339
Goa,2021,3,Insurance,1214,1385986
Goa,2021,4,Insurance,2087,2737316
Goa,2022,1,Insurance,2634,3865245
Goa,2022,2,Insurance,3524,5093510
Goa,2022,3,Insurance,3157,4142108
Goa,2022,4,Insurance,4388,6190669
Goa,2023,1,Insurance,4097,5859549
Goa,2023,2,Insurance,4166,5930801
Goa,2023,3,Insurance,3927,5646054
Goa,2023,4,Insurance,4883,7411001
Goa,2024,1,Insurance,5225,7528093
Goa,2024,2,Insurance,5021,7178558
Goa,2024,3,Insurance,5354,8051690
Goa,2024,4,Insurance,6662,9903374
Gujarat,2020,2,Insurance,7697,1430591
Gujarat,2020,3,Insurance,12525,3335812
Gujarat,2020,4,Insurance,9990,6055037
Gujarat,2021,1,Insurance,12673,7288104
Gujarat,2021,2,Insurance,14676,10263998
Gujarat,2021,3,Insurance,15348,12341903
Gujarat,2021,4,Insurance,19142,23282921
Gujarat,2022,1,Insurance,22221,29953433
Gujarat,2022,2,Insurance,25381,32090965
Gujarat,2022,3,Insurance,31302,37557227
Gujarat,2022,4,Insurance,36418,50629325
Gujarat,2023,1,Insurance,32600,46937694
Gujarat,2023,2,Insurance,32484,46254095
Gujarat,2023,3,Insurance,51049,65768085
Gujarat,2023,4,Insurance,41128,66735446
Gujarat,2024,1,Insurance,44665,62633910
Gujarat,2024,2,Insurance,44007,63866463
Gujarat,2024,3,Insurance,46763,70950327
Gujarat,2024,4,Insurance,62526,91858105
Haryana,2020,2,Insurance,6321,1179814
Haryana,2020,3,Insurance,7139,1884868
Haryana,2020,4,Insurance,8283,5974278
Haryana,2021,1,Insurance,11038,7297880
Haryana,2021,2,Insurance,12516,11272453
Haryana,2021,3,Insurance,14163,13215898
Haryana,2021,4,Insurance,19489,25885838
Haryana,2022,1,Insurance,22783,32526943
Haryana,2022,2,Insurance,25352,33759068
Haryana,2022,3,Insurance,35346,45402800
Haryana,2022,4,Insurance,37971,56627115
Haryana,2023,1,Insurance,37287,61127194
Haryana,2023,2,Insurance,40710,62186066
Haryana,2023,3,Insurance,42815,61782311
Haryana,2023,4,Insurance,47506,80747159
Haryana,2024,1,Insurance,50391,81816509
Haryana,2024,2,Insurance,46085,74779879
Haryana,2024,3,Insurance,49735,79198642
Haryana,2024,4,Insurance,58808,94316512
Himachal Pradesh,2020,2,Insurance,392,77936
Himachal Pradesh,2020,3,Insurance,531,165559
Himachal Pradesh,2020,4,Insurance,710,630966
Himachal Pradesh,2021,1,Insurance,1064,906492
Himachal Pradesh,2021,2,Insurance,1210,1402338
Himachal Pradesh,2021,3,Insurance,1759,2444545
Himachal Pradesh,2021,4,Insurance,2474,4667661
Himachal Pradesh,2022,1,Insurance,2768,5234739
Himachal Pradesh,2022,2,Insurance,2831,5371078
Himachal Pradesh,2022,3,Insurance,3641,6161692
Himachal Pradesh,2022,4,Insurance,4565,9060436
Himachal Pradesh,2023,1,Insurance,3909,7826133
Himachal Pradesh,2023,2,Insurance,4197,8499425
Himachal Pradesh,2023,3,Insurance,3935,7869767
Himachal Pradesh,2023,4,Insurance,5211,11898824
Himachal Pradesh,2024,1,Insurance,5430,10433254
Himachal Pradesh,2024,2,Insurance,5194,10008705
Himachal Pradesh,2024,3,Insurance,5272,10538999
Himachal Pradesh,2024,4,Insurance,6697,14090523
Jammu & Kashmir,2020,2,Insurance,206,48484
Jammu & Kashmir,2020,3,Insurance,441,133339
Jammu & Kashmir,2020,4,Insurance,647,734861
Jammu & Kashmir,2021,1,Insurance,1105,1546288
Jammu & Kashmir,2021,2,Insurance,1197,1832089
Jammu & Kashmir,2021,3,Insurance,1452,2139133
Jammu & Kashmir,2021,4,Insurance,3113,5223317
Jammu & Kashmir,2022,1,Insurance,3584,7244267
Jammu & Kashmir,2022,2,Insurance,4071,7729792
Jammu & Kashmir,2022,3,Insurance,4794,8281826
Jammu & Kashmir,2022,4,Insurance,5031,10111183
Jammu & Kashmir,2023,1,Insurance,4555,10275877
Jammu & Kashmir,2023,2,Insurance,5262,10974839
Jammu & Kashmir,2023,3,Insurance,5453,10975874
Jammu & Kashmir,2023,4,Insurance,6264,13932309
Jammu & Kashmir,2024,1,Insurance,7313,14695182
Jammu & Kashmir,2024,2,Insurance,7397,14237707
Jammu & Kashmir,2024,3,Insurance,7597,15554635
Jammu & Kashmir,2024,4,Insurance,8893,18252110
Jharkhand,2020,2,Insurance,2063,405031
Jharkhand,2020,3,Insurance,5368,1349934
Jharkhand,2020,4,Insurance,3659,2857024
Jharkhand,2021,1,Insurance,4879,3274851
Jharkhand,2021,2,Insurance,5180,5084230
Jharkhand,2021,3,Insurance,6794,7046048
Jharkhand,2021,4,Insurance,8465,11190423
Jharkhand,2022,1,Insurance,9373,13819466
Jharkhand,2022,2,Insurance,9477,13464840
Jharkhand,2022,3,Insurance,14388,18156857
Jharkhand,2022,4,Insurance,16779,23147805
Jharkhand,2023,1,Insurance,16108,23823406
Jharkhand,2023,2,Insurance,16662,23216215
Jharkhand,2023,3,Insurance,19478,25165702
Jharkhand,2023,4,Insurance,22398,33484644
Jharkhand,2024,1,Insurance,24824,34332990
Jharkhand,2024,2,Insurance,22224,32245129
Jharkhand,2024,3,Insurance,23629,34353146
Jharkhand,2024,4,Insurance,29079,42253614
Karnataka,2020,2,Insurance,27358,4794150
Karnataka,2020,3,Insurance,53701,12407394
Karnataka,2020,4,Insurance,31747,26814968
Karnataka,2021,1,Insurance,37595,30183325
Karnataka,2021,2,Insurance,40969,39501006
Karnataka,2021,3,Insurance,47468,48078366
Karnataka,2021,4,Insurance,74436,90723288
Karnataka,2022,1,Insurance,95640,130733580
Karnataka,2022,2,Insurance,93385,123228632
Karnataka,2022,3,Insurance,110273,144605784
Karnataka,2022,4,Insurance,133971,185063287
Karnataka,2023,1,Insurance,127376,186543426
Karnataka,2023,2,Insurance,117232,175704013
Karnataka,2023,3,Insurance,139699,199448538
Karnataka,2023,4,Insurance,156076,248056311
Karnataka,2024,1,Insurance,169357,264708700
Karnataka,2024,2,Insurance,142599,239304982
Karnataka,2024,3,Insurance,174990,287393291
Karnataka,2024,4,Insurance,183532,305861806
Kerala,2020,2,Insurance,1588,360216
Kerala,2020,3,Insurance,8811,2830361
Kerala,2020,4,Insurance,5479,4445525
Kerala,2021,1,Insurance,5731,5040506
Kerala,2021,2,Insurance,9530,9676588
Kerala,2021,3,Insurance,10926,13255646
Kerala,2021,4,Insurance,19199,31260319
Kerala,2022,1,Insurance,37110,64172190
Kerala,2022,2,Insurance,35667,59920203
Kerala,2022,3,Insurance,54587,85390924
Kerala,2022,4,Insurance,65563,103982997
Kerala,2023,1,Insurance,62377,101786828
Kerala,2023,2,Insurance,61032,100620604
Kerala,2023,3,Insurance,66059,110021582
Kerala,2023,4,Insurance,73543,121905046
Kerala,2024,1,Insurance,73106,115101791
Kerala,2024,2,Insurance,65271,108142369
Kerala,2024,3,Insurance,79123,131721699
Kerala,2024,4,Insurance,89533,144083113
Ladakh,2020,2,Insurance,14,2538
Ladakh,2020,3,Insurance,33,10260
Ladakh,2020,4,Insurance,27,34206
Ladakh,2021,1,Insurance,32,34530
Ladakh,2021,2,Insurance,46,86251
Ladakh,2021,3,Insurance,192,174052
Ladakh,2021,4,Insurance,76,195966
Ladakh,2022,1,Insurance,75,193935
Ladakh,2022,2,Insurance,113,269446
Ladakh,2022,3,Insurance,137,369742
Ladakh,2022,4,Insurance,162,410091
Ladakh,2023,1,Insurance,161,495736
Ladakh,2023,2,Insurance,215,635831
Ladakh,2023,3,Insurance,232,649027
Ladakh,2023,4,Insurance,242,718967
Ladakh,2024,1,Insurance,291,614435
Ladakh,2024,2,Insurance,415,964349
Ladakh,2024,3,Insurance,446,978637
Ladakh,2024,4,Insurance,429,970334
Lakshadweep,2020,3,Insurance,4,1199
Lakshadweep,2021,1,Insurance,4,5225
Lakshadweep,2021,2,Insurance,5,6962
Lakshadweep,2021,3,Insurance,19,16034
Lakshadweep,2021,4,Insurance,11,17096
Lakshadweep,2022,1,Insurance,27,34664
Lakshadweep,2022,2,Insurance,18,27463
Lakshadweep,2022,3,Insurance,38,41504
Lakshadweep,2022,4,Insurance,15,27135
Lakshadweep,2023,1,Insurance,26,30199
Lakshadweep,2023,2,Insurance,15,38384
Lakshadweep,2023,3,Insurance,12,12407
Lakshadweep,2023,4,Insurance,53,78346
Lakshadweep,2024,1,Insurance,15,12935
Lakshadweep,2024,2,Insurance,26,33630
Lakshadweep,2024,3,Insurance,49,55312
Lakshadweep,2024,4,Insurance,159,185542
Madhya Pradesh,2020,2,Insurance,6283,1198701
Madhya Pradesh,2020,3,Insurance,14476,3496126
Madhya Pradesh,2020,4,Insurance,10653,4897124
Madhya Pradesh,2021,1,Insurance,14427,5567927
Madhya Pradesh,2021,2,Insurance,14803,9787391
Madhya Pradesh,2021,3,Insurance,11990,7806258
Madhya Pradesh,2021,4,Insurance,15069,17524432
Madhya Pradesh,2022,1,Insurance,13791,19901462
Madhya Pradesh,2022,2,Insurance,14629,20159098
Madhya Pradesh,2022,3,Insurance,22733,29185118
Madhya Pradesh,2022,4,Insurance,29234,42712883
Madhya Pradesh,2023,1,Insurance,26393,45135679
Madhya Pradesh,2023,2,Insurance,27027,44871764
Madhya Pradesh,2023,3,Insurance,29300,46963348
Madhya Pradesh,2023,4,Insurance,40784,73801070
Madhya Pradesh,2024,1,Insurance,51223,85215982
Madhya Pradesh,2024,2,Insurance,41429,73836667
Madhya Pradesh,2024,3,Insurance,43248,77995668
Madhya Pradesh,2024,4,Insurance,59688,101096769
Maharashtra,2020,2,Insurance,39836,6879717
Maharashtra,2020,3,Insurance,71662,19230156
Maharashtra,2020,4,Insurance,44798,27113814
Maharashtra,2021,1,Insurance,55792,33137753
Maharashtra,2021,2,Insurance,70381,46763103
Maharashtra,2021,3,Insurance,52268,41313307
Maharashtra,2021,4,Insurance,82423,93262227
Maharashtra,2022,1,Insurance,88015,117411928
Maharashtra,2022,2,Insurance,80935,104603934
Maharashtra,2022,3,Insurance,90958,113835208
Maharashtra,2022,4,Insurance,125900,174915648
Maharashtra,2023,1,Insurance,112174,166596248
Maharashtra,2023,2,Insurance,102754,157303399
Maharashtra,2023,3,Insurance,104872,151171882
Maharashtra,2023,4,Insurance,136968,217657114
Maharashtra,2024,1,Insurance,149016,224725389
Maharashtra,2024,2,Insurance,118933,198945046
Maharashtra,2024,3,Insurance,119776,201319952
Maharashtra,2024,4,Insurance,168078,266942711
Manipur,2020,2,Insurance,55,12554
Manipur,2020,3,Insurance,134,45164
Manipur,2020,4,Insurance,90,49057
Manipur,2021,1,Insurance,136,72254
Manipur,2021,2,Insurance,127,81332
Manipur,2021,3,Insurance,111,133016
Manipur,2021,4,Insurance,145,271789
Manipur,2022,1,Insurance,177,517854
Manipur,2022,2,Insurance,218,553649
Manipur,2022,3,Insurance,200,403213
Manipur,2022,4,Insurance,271,620655
Manipur,2023,1,Insurance,222,632084
Manipur,2023,2,Insurance,123,341671
Manipur,2023,3,Insurance,76,193021
Manipur,2023,4,Insurance,225,476626
Manipur,2024,1,Insurance,385,685052
Manipur,2024,2,Insurance,346,647411
Manipur,2024,3,Insurance,285,587893
Manipur,2024,4,Insurance,405,826159
Meghalaya,2020,2,Insurance,41,8829
Meghalaya,2020,3,Insurance,112,33615
Meghalaya,2020,4,Insurance,92,71029
Meghalaya,2021,1,Insurance,107,128776
Meghalaya,2021,2,Insurance,139,148434
Meghalaya,2021,3,Insurance,139,214554
Meghalaya,2021,4,Insurance,263,451612
Meghalaya,2022,1,Insurance,337,729211
Meghalaya,2022,2,Insurance,379,789094
Meghalaya,2022,3,Insurance,600,1039491
Meghalaya,2022,4,Insurance,627,1189529
Meghalaya,2023,1,Insurance,562,1187523
Meghalaya,2023,2,Insurance,730,1551577
Meghalaya,2023,3,Insurance,809,1728076
Meghalaya,2023,4,Insurance,806,1843364
Meghalaya,2024,1,Insurance,1030,1987107
Meghalaya,2024,2,Insurance,1235,2318007
Meghalaya,2024,3,Insurance,1140,2443878
Meghalaya,2024,4,Insurance,1313,2493656
Mizoram,2020,2,Insurance,31,7322
Mizoram,2020,3,Insurance,74,24691
Mizoram,2020,4,Insurance,81,119124
Mizoram,2021,1,Insurance,415,302841
Mizoram,2021,2,Insurance,187,124805
Mizoram,2021,3,Insurance,81,83641
Mizoram,2021,4,Insurance,100,175847
Mizoram,2022,1,Insurance,85,189428
Mizoram,2022,2,Insurance,76,115090
Mizoram,2022,3,Insurance,310,471306
Mizoram,2022,4,Insurance,350,612551
