States,Years,Quarter,Insurance_type,Insurance_count,Insurance_amount
Haryana,2022,1,Insurance,22783,32526943
Haryana,2022,2,Insurance,25352,33759068
Haryana,2022,3,Insurance,35346,45402800
Haryana,2022,4,Insurance,37971,56627115
Haryana,2023,1,Insurance,37287,61127194
Haryana,2023,2,Insurance,40710,62186066
Haryana,2023,3,Insurance,42815,61782311
Haryana,2023,4,Insurance,47506,80747159
Haryana,2024,1,Insurance,50391,81816509
Haryana,2024,2,Insurance,46085,74779879
Haryana,2024,3,Insurance,49735,79198642
Haryana,2024,4,Insurance,58808,94316512
Himachal Pradesh,2020,2,Insurance,392,77936
Himachal Pradesh,2020,3,Insurance,531,165559
Himachal Pradesh,2020,4,Insurance,710,630966
Himachal Pradesh,2021,1,Insurance,1064,906492
Himachal Pradesh,2021,2,Insurance,1210,1402338
Himachal Pradesh,2021,3,Insurance,1759,2444545
Himachal Pradesh,2021,4,Insurance,2474,4667661
Himachal Pradesh,2022,1,Insurance,2768,5234739
Himachal Pradesh,2022,2,Insurance,2831,5371078
Himachal Pradesh,2022,3,Insurance,3641,6161692
Himachal Pradesh,2022,4,Insurance,4565,9060436
Himachal Pradesh,2023,1,Insurance,3909,7826133
Himachal Pradesh,2023,2,Insurance,4197,8499425
Himachal Pradesh,2023,3,Insurance,3935,7869767
Himachal Pradesh,2023,4,Insurance,5211,11898824
Himachal Pradesh,2024,1,Insurance,5430,10433254
Himachal Pradesh,2024,2,Insurance,5194,10008705
Himachal Pradesh,2024,3,Insurance,5272,10538999
Himachal Pradesh,2024,4,Insurance,6697,14090523
Jammu & Kashmir,2020,2,Insurance,206,48484
Jammu & Kashmir,2020,3,Insurance,441,133339
Jammu & Kashmir,2020,4,Insurance,647,734861
Jammu & Kashmir,2021,1,Insurance,1105,1546288
Jammu & Kashmir,2021,2,Insurance,1197,1832089
Jammu & Kashmir,2021,3,Insurance,1452,2139133
Jammu & Kashmir,2021,4,Insurance,3113,5223317
Jammu & Kashmir,2022,1,Insurance,3584,7244267
Jammu & Kashmir,2022,2,Insurance,4071,7729792
Jammu & Kashmir,2022,3,Insurance,4794,8281826
Jammu & Kashmir,2022,4,Insurance,5031,10111183
Jammu & Kashmir,2023,1,Insurance,4555,10275877
Jammu & Kashmir,2023,2,Insurance,5262,10974839
Jammu & Kashmir,2023,3,Insurance,5453,10975874
Jammu & Kashmir,2023,4,Insurance,6264,13932309
Jammu & Kashmir,2024,1,Insurance,7313,14695182
Jammu & Kashmir,2024,2,Insurance,7397,14237707
Jammu & Kashmir,2024,3,Insurance,7597,15554635
Jammu & Kashmir,2024,4,Insurance,8893,18252110
Jharkhand,2020,2,Insurance,2063,405031
Jharkhand,2020,3,Insurance,5368,1349934
Jharkhand,2020,4,Insurance,3659,2857024
Jharkhand,2021,1,Insurance,4879,3274851
Jharkhand,2021,2,Insurance,5180,5084230
Jharkhand,2021,3,Insurance,6794,7046048
Jharkhand,2021,4,Insurance,8465,11190423
Jharkhand,2022,1,Insurance,9373,13819466
Jharkhand,2022,2,Insurance,9477,13464840
Jharkhand,2022,3,Insurance,14388,18156857
Jharkhand,2022,4,Insurance,16779,23147805
Jharkhand,2023,1,Insurance,16108,23823406
Jharkhand,2023,2,Insurance,16662,23216215
Jharkhand,2023,3,Insurance,19478,25165702
Jharkhand,2023,4,Insurance,22398,33484644
Jharkhand,2024,1,Insurance,24824,34332990
Jharkhand,2024,2,Insurance,22224,32245129
Jharkhand,2024,3,Insurance,23629,34353146
Jharkhand,2024,4,Insurance,29079,42253614
Karnataka,2020,2,Insurance,27358,4794150
Karnataka,2020,3,Insurance,53701,12407394
Karnataka,2020,4,Insurance,31747,26814968
Karnataka,2021,1,Insurance,37595,30183325
Karnataka,2021,2,Insurance,40969,39501006
Karnataka,2021,3,Insurance,47468,48078366
Karnataka,2021,4,Insurance,74436,90723288
Karnataka,2022,1,Insurance,95640,130733580
Karnataka,2022,2,Insurance,93385,123228632
Karnataka,2022,3,Insurance,110273,144605784
Karnataka,2022,4,Insurance,133971,185063287
Karnataka,2023,1,Insurance,127376,186543426
Karnataka,2023,2,Insurance,117232,175704013
Karnataka,2023,3,Insurance,139699,199448538
Karnataka,2023,4,Insurance,156076,248056311
Karnataka,2024,1,Insurance,169357,264708700
Karnataka,2024,2,Insurance,142599,239304982
Karnataka,2024,3,Insurance,174990,287393291
Karnataka,2024,4,Insurance,183532,305861806
Kerala,2020,2,Insurance,1588,360216
Kerala,2020,3,Insurance,8811,2830361
Kerala,2020,4,Insurance,5479,4445525
Kerala,2021,1,Insurance,5731,5040506
Kerala,2021,2,Insurance,9530,9676588
Kerala,2021,3,Insurance,10926,13255646
Kerala,2021,4,Insurance,19199,31260319
Kerala,2022,1,Insurance,37110,64172190
Kerala,2022,2,Insurance,35667,59920203
Kerala,2022,3,Insurance,54587,85390924
Kerala,2022,4,Insurance,65563,103982997
Kerala,2023,1,Insurance,62377,101786828
Kerala,2023,2,Insurance,61032,100620604
Kerala,2023,3,Insurance,66059,110021582
Kerala,2023,4,Insurance,73543,121905046
Kerala,2024,1,Insurance,73106,115101791
Kerala,2024,2,Insurance,65271,108142369
Kerala,2024,3,Insurance,79123,131721699
Kerala,2024,4,Insurance,89533,144083113
Ladakh,2020,2,Insurance,14,2538
Ladakh,2020,3,Insurance,33,10260
Ladakh,2020,4,Insurance,27,34206
Ladakh,2021,1,Insurance,32,34530
Ladakh,2021,2,Insurance,46,86251
Ladakh,2021,3,Insurance,192,174052
Ladakh,2021,4,Insurance,76,195966
Ladakh,2022,1,Insurance,75,193935
Ladakh,2022,2,Insurance,113,269446
Ladakh,2022,3,Insurance,137,369742
Ladakh,2022,4,Insurance,162,410091
Ladakh,2023,1,Insurance,161,495736
Ladakh,2023,2,Insurance,215,635831
Ladakh,2023,3,Insurance,232,649027
Ladakh,2023,4,Insurance,242,718967
Ladakh,2024,1,Insurance,291,614435
Ladakh,2024,2,Insurance,415,964349
Ladakh,2024,3,Insurance,446,978637
Ladakh,2024,4,Insurance,429,970334
Lakshadweep,2020,3,Insurance,4,1199
Lakshadweep,2021,1,Insurance,4,5225
Lakshadweep,2021,2,Insurance,5,6962
Lakshadweep,2021,3,Insurance,19,16034
Lakshadweep,2021,4,Insurance,11,17096
Lakshadweep,2022,1,Insurance,27,34664
Lakshadweep,2022,2,Insurance,18,27463
Lakshadweep,2022,3,Insurance,38,41504
Lakshadweep,2022,4,Insurance,15,27135
Lakshadweep,2023,1,Insurance,26,30199
Lakshadweep,2023,2,Insurance,15,38384
Lakshadweep,2023,3,Insurance,12,12407
Lakshadweep,2023,4,Insurance,53,78346
Lakshadweep,2024,1,Insurance,15,12935
Lakshadweep,2024,2,Insurance,26,33630
Lakshadweep,2024,3,Insurance,49,55312
Lakshadweep,2024,4,Insurance,159,185542
Madhya Pradesh,2020,2,Insurance,6283,1198701
Madhya Pradesh,2020,3,Insurance,14476,3496126
Madhya Pradesh,2020,4,Insurance,10653,4897124
Madhya Pradesh,2021,1,Insurance,14427,5567927
Madhya Pradesh,2021,2,Insurance,14803,9787391
Madhya Pradesh,2021,3,Insurance,11990,7806258
Madhya Pradesh,2021,4,Insurance,15069,17524432
Madhya Pradesh,2022,1,Insurance,13791,19901462
Madhya Pradesh,2022,2,Insurance,14629,20159098
Madhya Pradesh,2022,3,Insurance,22733,29185118
Madhya Pradesh,2022,4,Insurance,29234,42712883
Madhya Pradesh,2023,1,Insurance,26393,45135679
Madhya Pradesh,2023,2,Insurance,27027,44871764
Madhya Pradesh,2023,3,Insurance,29300,46963348
Madhya Pradesh,2023,4,Insurance,40784,73801070
Madhya Pradesh,2024,1,Insurance,51223,85215982
Madhya Pradesh,2024,2,Insurance,41429,73836667
Madhya Pradesh,2024,3,Insurance,43248,77995668
Madhya Pradesh,2024,4,Insurance,59688,101096769
Maharashtra,2020,2,Insurance,39836,6879717
Maharashtra,2020,3,Insurance,71662,19230156
Maharashtra,2020,4,Insurance,44798,27113814
Maharashtra,2021,1,Insurance,55792,33137753
Maharashtra,2021,2,Insurance,70381,46763103
Maharashtra,2021,3,Insurance,52268,41313307
Maharashtra,2021,4,Insurance,82423,93262227
Maharashtra,2022,1,Insurance,88015,117411928
Maharashtra,2022,2,Insurance,80935,104603934
Maharashtra,2022,3,Insurance,90958,113835208
Maharashtra,2022,4,Insurance,125900,174915648
Maharashtra,2023,1,Insurance,112174,166596248
Maharashtra,2023,2,Insurance,102754,157303399
Maharashtra,2023,3,Insurance,104872,151171882
Maharashtra,2023,4,Insurance,136968,217657114
Maharashtra,2024,1,Insurance,149016,224725389
Maharashtra,2024,2,Insurance,118933,198945046
Maharashtra,2024,3,Insurance,119776,201319952
Maharashtra,2024,4,Insurance,168078,266942711
Manipur,2020,2,Insurance,55,12554
Manipur,2020,3,Insurance,134,45164
Manipur,2020,4,Insurance,90,49057
Manipur,2021,1,Insurance,136,72254
Manipur,2021,2,Insurance,127,81332
Manipur,2021,3,Insurance,111,133016
Manipur,2021,4,Insurance,145,271789
Manipur,2022,1,Insurance,177,517854
Manipur,2022,2,Insurance,218,553649
Manipur,2022,3,Insurance,200,403213
Manipur,2022,4,Insurance,271,620655
Manipur,2023,1,Insurance,222,632084
Manipur,2023,2,Insurance,123,341671
Manipur,2023,3,Insurance,76,193021
Manipur,2023,4,Insurance,225,476626
Manipur,2024,1,Insurance,385,685052
Manipur,2024,2,Insurance,346,647411
Manipur,2024,3,Insurance,285,587893
Manipur,2024,4,Insurance,405,826159
Meghalaya,2020,2,Insurance,41,8829
Meghalaya,2020,3,Insurance,112,33615
Meghalaya,2020,4,Insurance,92,71029
Meghalaya,2021,1,Insurance,107,128776
Meghalaya,2021,2,Insurance,139,148434
Meghalaya,2021,3,Insurance,139,214554
Meghalaya,2021,4,Insurance,263,451612
Meghalaya,2022,1,Insurance,337,729211
Meghalaya,2022,2,Insurance,379,789094
Meghalaya,2022,3,Insurance,600,1039491
Meghalaya,2022,4,Insurance,627,1189529
Meghalaya,2023,1,Insurance,562,1187523
Meghalaya,2023,2,Insurance,730,1551577
Meghalaya,2023,3,Insurance,809,1728076
Meghalaya,2023,4,Insurance,806,1843364
Meghalaya,2024,1,Insurance,1030,1987107
Meghalaya,2024,2,Insurance,1235,2318007
Meghalaya,2024,3,Insurance,1140,2443878
Meghalaya,2024,4,Insurance,1313,2493656
Mizoram,2020,2,Insurance,31,7322
Mizoram,2020,3,Insurance,74,24691
Mizoram,2020,4,Insurance,81,119124
Mizoram,2021,1,Insurance,415,302841
Mizoram,2021,2,Insurance,187,124805
Mizoram,2021,3,Insurance,81,83641
Mizoram,2021,4,Insurance,100,175847
Mizoram,2022,1,Insurance,85,189428
Mizoram,2022,2,Insurance,76,115090
Mizoram,2022,3,Insurance,310,471306
Mizoram,2022,4,Insurance,350,612551
Mizoram,2023,1,Insurance,171,326688
Mizoram,2023,2,Insurance,119,232928
Mizoram,2023,3,Insurance,166,271799
Mizoram,2023,4,Insurance,312,557950
Mizoram,2024,1,Insurance,277,427693
Mizoram,2024,2,Insurance,214,331455
Mizoram,2024,3,Insurance,186,275746
Mizoram,2024,4,Insurance,489,811687
Nagaland,2020,2,Insurance,41,9791
Nagaland,2020,3,Insurance,89,20798
Nagaland,2020,4,Insurance,62,38836
Nagaland,2021,1,Insurance,79,42973
Nagaland,2021,2,Insurance,85,139479
Nagaland,2021,3,Insurance,91,123643
Nagaland,2021,4,Insurance,183,341424
Nagaland,2022,1,Insurance,242,529223
Nagaland,2022,2,Insurance,186,380878
Nagaland,2022,3,Insurance,210,439669
Nagaland,2022,4,Insurance,367,700864
Nagaland,2023,1,Insurance,320,704957
Nagaland,2023,2,Insurance,269,628890
Nagaland,2023,3,Insurance,268,632287
Nagaland,2023,4,Insurance,331,822973
Nagaland,2024,1,Insurance,526,925684
Nagaland,2024,2,Insurance,418,685292
Nagaland,2024,3,Insurance,410,820539
Nagaland,2024,4,Insurance,568,1168417
Odisha,2020,2,Insurance,2981,615193
Odisha,2020,3,Insurance,10955,2640191
Odisha,2020,4,Insurance,7526,4208701
Odisha,2021,1,Insurance,8236,4383330
Odisha,2021,2,Insurance,7942,5832924
Odisha,2021,3,Insurance,7967,6008686
Odisha,2021,4,Insurance,9093,10941626
Odisha,2022,1,Insurance,9627,14539309
Odisha,2022,2,Insurance,12371,16631095
Odisha,2022,3,Insurance,18898,23308531
Odisha,2022,4,Insurance,24538,33565401
Odisha,2023,1,Insurance,18899,29360555
Odisha,2023,2,Insurance,22163,31307110
Odisha,2023,3,Insurance,20263,29008350
Odisha,2023,4,Insurance,25065,39753392
Odisha,2024,1,Insurance,27977,40032495
Odisha,2024,2,Insurance,24579,36840474
Odisha,2024,3,Insurance,26524,40608651
Odisha,2024,4,Insurance,33165,46973224
Puducherry,2020,2,Insurance,112,22251
Puducherry,2020,3,Insurance,191,58399
Puducherry,2020,4,Insurance,234,197955
Puducherry,2021,1,Insurance,372,351827
Puducherry,2021,2,Insurance,526,508277
Puducherry,2021,3,Insurance,561,556442
Puducherry,2021,4,Insurance,786,946607
Puducherry,2022,1,Insurance,1199,1663404
Puducherry,2022,2,Insurance,1156,1597786
Puducherry,2022,3,Insurance,1585,2025529
Puducherry,2022,4,Insurance,2331,2693130
Puducherry,2023,1,Insurance,1955,2593091
Puducherry,2023,2,Insurance,1809,2614006
Puducherry,2023,3,Insurance,2232,2891647
Puducherry,2023,4,Insurance,2447,3419395
Puducherry,2024,1,Insurance,2702,3793554
Puducherry,2024,2,Insurance,2304,3322997
Puducherry,2024,3,Insurance,2600,3968523
Puducherry,2024,4,Insurance,2838,3896033
Punjab,2020,2,Insurance,2036,399452
Punjab,2020,3,Insurance,2488,684753
Punjab,2020,4,Insurance,2451,1884291
Punjab,2021,1,Insurance,3783,2558380
Punjab,2021,2,Insurance,4047,3768919
Punjab,2021,3,Insurance,4887,5271559
Punjab,2021,4,Insurance,6638,9912828
Punjab,2022,1,Insurance,7475,13155682
Punjab,2022,2,Insurance,9175,15465367
Punjab,2022,3,Insurance,12370,19381895
Punjab,2022,4,Insurance,12187,21727831
Punjab,2023,1,Insurance,10816,23330966
Punjab,2023,2,Insurance,13187,24998175
Punjab,2023,3,Insurance,14048,24461488
Punjab,2023,4,Insurance,13777,28715828
Punjab,2024,1,Insurance,14729,28213940
Punjab,2024,2,Insurance,14129,27164397
Punjab,2024,3,Insurance,15509,30111034
Punjab,2024,4,Insurance,16279,31878987
Rajasthan,2020,2,Insurance,5373,1095933
Rajasthan,2020,3,Insurance,15235,3758527
Rajasthan,2020,4,Insurance,12509,6471573
Rajasthan,2021,1,Insurance,17800,8074225
Rajasthan,2021,2,Insurance,18281,14357445
Rajasthan,2021,3,Insurance,16643,12793862
Rajasthan,2021,4,Insurance,19375,24455262
Rajasthan,2022,1,Insurance,21517,31576932
Rajasthan,2022,2,Insurance,24333,33748931
Rajasthan,2022,3,Insurance,33975,45565544
Rajasthan,2022,4,Insurance,40926,60792838
Rajasthan,2023,1,Insurance,34415,61441050
Rajasthan,2023,2,Insurance,37170,61301449
Rajasthan,2023,3,Insurance,39960,64328784
Rajasthan,2023,4,Insurance,49741,94701652
Rajasthan,2024,1,Insurance,59127,102926410
Rajasthan,2024,2,Insurance,55241,95504657
Rajasthan,2024,3,Insurance,64533,108827800
Rajasthan,2024,4,Insurance,73530,127930986
Sikkim,2020,2,Insurance,21,4789
Sikkim,2020,3,Insurance,94,28000
Sikkim,2020,4,Insurance,67,70214
Sikkim,2021,1,Insurance,122,111777
Sikkim,2021,2,Insurance,93,122064
Sikkim,2021,3,Insurance,106,140552
Sikkim,2021,4,Insurance,195,503532
Sikkim,2022,1,Insurance,239,685987
Sikkim,2022,2,Insurance,160,383709
Sikkim,2022,3,Insurance,243,474940
Sikkim,2022,4,Insurance,306,667214
Sikkim,2023,1,Insurance,260,688605
Sikkim,2023,2,Insurance,270,628191
Sikkim,2023,3,Insurance,251,698251
Sikkim,2023,4,Insurance,324,793745
Sikkim,2024,1,Insurance,400,880182
Sikkim,2024,2,Insurance,685,1590554
Sikkim,2024,3,Insurance,461,1029398
Sikkim,2024,4,Insurance,599,1381680
Tamil Nadu,2020,2,Insurance,5473,1075552
Tamil Nadu,2020,3,Insurance,8026,2257373
Tamil Nadu,2020,4,Insurance,10290,8993575
Tamil Nadu,2021,1,Insurance,14406,11180849
Tamil Nadu,2021,2,Insurance,17682,16444344
Tamil Nadu,2021,3,Insurance,23107,23402918
Tamil Nadu,2021,4,Insurance,33037,42184290
Tamil Nadu,2022,1,Insurance,47621,64969045
Tamil Nadu,2022,2,Insurance,46714,61835120
Tamil Nadu,2022,3,Insurance,64356,79747520
Tamil Nadu,2022,4,Insurance,125491,146457790
Tamil Nadu,2023,1,Insurance,90690,116710222
Tamil Nadu,2023,2,Insurance,79698,105328191
Tamil Nadu,2023,3,Insurance,91069,114625593
Tamil Nadu,2023,4,Insurance,104871,139433796
Tamil Nadu,2024,1,Insurance,111521,148976175
Tamil Nadu,2024,2,Insurance,97348,135972378
Tamil Nadu,2024,3,Insurance,116867,162128271
Tamil Nadu,2024,4,Insurance,127002,173784251
Telangana,2020,2,Insurance,19003,3419453
Telangana,2020,3,Insurance,34395,8406543
Telangana,2020,4,Insurance,20961,11339099
Telangana,2021,1,Insurance,28298,14810947
Telangana,2021,2,Insurance,28870,20935651
Telangana,2021,3,Insurance,27080,20925217
Telangana,2021,4,Insurance,34848,38845492
Telangana,2022,1,Insurance,36325,51942016
Telangana,2022,2,Insurance,45600,58056956
Telangana,2022,3,Insurance,51465,64798126
Telangana,2022,4,Insurance,64655,88544127
Telangana,2023,1,Insurance,54508,82678207
Telangana,2023,2,Insurance,55118,79238968
Telangana,2023,3,Insurance,61523,84397465
Telangana,2023,4,Insurance,63993,105605522
Telangana,2024,1,Insurance,67388,105607539
Telangana,2024,2,Insurance,56941,96037304
Telangana,2024,3,Insurance,64873,110715264
Telangana,2024,4,Insurance,78498,124755619
Tripura,2020,2,Insurance,88,22054
Tripura,2020,3,Insurance,249,61642
Tripura,2020,4,Insurance,244,149765
Tripura,2021,1,Insurance,360,191531
Tripura,2021,2,Insurance,381,409934
Tripura,2021,3,Insurance,494,649961
Tripura,2021,4,Insurance,702,1022508
Tripura,2022,1,Insurance,907,1493401
Tripura,2022,2,Insurance,1021,1509105
Tripura,2022,3,Insurance,1590,2105984
Tripura,2022,4,Insurance,1508,2112534
Tripura,2023,1,Insurance,1642,2404958
Tripura,2023,2,Insurance,1563,2163813
Tripura,2023,3,Insurance,2071,2899393
Tripura,2023,4,Insurance,2237,3169741
Tripura,2024,1,Insurance,2637,3417568
Tripura,2024,2,Insurance,2188,2869489
Tripura,2024,3,Insurance,2516,3323343
Tripura,2024,4,Insurance,2794,3765732
Uttar Pradesh,2020,2,Insurance,9884,1912266
Uttar Pradesh,2020,3,Insurance,18131,4436969
Uttar Pradesh,2020,4,Insurance,17470,14180417
Uttar Pradesh,2021,1,Insurance,24103,18027573
Uttar Pradesh,2021,2,Insurance,25952,25137571
Uttar Pradesh,2021,3,Insurance,32799,32641118
Uttar Pradesh,2021,4,Insurance,44132,59654951
Uttar Pradesh,2022,1,Insurance,45996,73014969
Uttar Pradesh,2022,2,Insurance,55133,77434953
Uttar Pradesh,2022,3,Insurance,64514,87703512
Uttar Pradesh,2022,4,Insurance,77022,116755813
Uttar Pradesh,2023,1,Insurance,73080,127110494
Uttar Pradesh,2023,2,Insurance,74194,122522457
Uttar Pradesh,2023,3,Insurance,78940,121483170
Uttar Pradesh,2023,4,Insurance,92125,165509877
Uttar Pradesh,2024,1,Insurance,103701,176442664
Uttar Pradesh,2024,2,Insurance,92458,159894258
Uttar Pradesh,2024,3,Insurance,92930,157303596
Uttar Pradesh,2024,4,Insurance,116589,199179867
Uttarakhand,2020,2,Insurance,660,134899
Uttarakhand,2020,3,Insurance,1403,418543
Uttarakhand,2020,4,Insurance,1756,1961891
Uttarakhand,2021,1,Insurance,2607,2719327
Uttarakhand,2021,2,Insurance,2742,3265717
Uttarakhand,2021,3,Insurance,4111,4646571
Uttarakhand,2021,4,Insurance,5529,7849020
Uttarakhand,2022,1,Insurance,5339,8824948
Uttarakhand,2022,2,Insurance,5773,9168313
Uttarakhand,2022,3,Insurance,6784,10070172
Uttarakhand,2022,4,Insurance,8750,13817747
Uttarakhand,2023,1,Insurance,7552,13599026
Uttarakhand,2023,2,Insurance,8051,14034915
Uttarakhand,2023,3,Insurance,7856,12636749
Uttarakhand,2023,4,Insurance,10040,19045152
Uttarakhand,2024,1,Insurance,11533,19531483
Uttarakhand,2024,2,Insurance,10311,17754447
Uttarakhand,2024,3,Insurance,10487,17860144
Uttarakhand,2024,4,Insurance,13090,23367549
West Bengal,2020,2,Insurance,7619,1432764
West Bengal,2020,3,Insurance,12596,2878482
West Bengal,2020,4,Insurance,10233,7510455
West Bengal,2021,1,Insurance,15488,11172042
West Bengal,2021,2,Insurance,15200,12396029
West Bengal,2021,3,Insurance,24839,21424337
West Bengal,2021,4,Insurance,26320,31282871
West Bengal,2022,1,Insurance,38779,51160527
West Bengal,2022,2,Insurance,33542,41737021
West Bengal,2022,3,Insurance,47853,59092307
West Bengal,2022,4,Insurance,54277,70466433
West Bengal,2023,1,Insurance,56833,77461732
West Bengal,2023,2,Insurance,49792,65204280
West Bengal,2023,3,Insurance,58131,76359312
West Bengal,2023,4,Insurance,72712,100365562
West Bengal,2024,1,Insurance,79576,104987909
West Bengal,2024,2,Insurance,67048,89476633
West Bengal,2024,3,Insurance,77158,107451766
West Bengal,2024,4,Insurance,91719,120602777
